z,n,symbol,half_life_sec,zaid,formula
33,41,As,1535328.0,33074,As74
33,42,As,,33075,As75
33,43,As,94464.0,33076,As76
33,44,As,139644.0,33077,As77
33,45,As,5442.0,33078,As78
33,46,As,540.6,33079,As79
33,47,As,15.2,33080,As80
33,48,As,33.3,33081,As81
33,49,As,19.1,33082,As82
33,50,As,13.4,33083,As83
33,51,As,4.2,33084,As84
33,52,As,2.021,33085,As85
33,53,As,0.945,33086,As86
33,54,As,0.484,33087,As87
33,55,As,0.2,33088,As88
33,56,As,,33089,As89
33,57,As,,33090,As90
33,58,As,,33091,As91
33,59,As,,33092,As92
34,29,Se,0.0132,34063,Se63
34,30,Se,,34064,Se64
34,31,Se,0.033,34065,Se65
34,32,Se,0.042,34066,Se66
34,33,Se,0.133,34067,Se67
34,34,Se,35.5,34068,Se68
34,35,Se,27.4,34069,Se69
34,36,Se,2466.0,34070,Se70
34,37,Se,284.4,34071,Se71
34,38,Se,725760.0,34072,Se72
34,39,Se,25740.0,34073,Se73
34,40,Se,,34074,Se74
34,41,Se,10348992.0,34075,Se75
34,42,Se,,34076,Se76
34,43,Se,,34077,Se77
34,44,Se,,34078,Se78
34,45,Se,10319114793691.584,34079,Se79
34,46,Se,,34080,Se80
34,47,Se,1107.0,34081,Se81
34,48,Se,3.029464893560832e+27,34082,Se82
34,49,Se,1338.0,34083,Se83
34,50,Se,195.6,34084,Se84
34,51,Se,32.9,34085,Se85
34,52,Se,14.3,34086,Se86
34,53,Se,5.5,34087,Se87
34,54,Se,1.53,34088,Se88
34,55,Se,0.43,34089,Se89
34,56,Se,0.195,34090,Se90
34,57,Se,0.27,34091,Se91
34,58,Se,,34092,Se92
34,59,Se,,34093,Se93
34,60,Se,1.5e-07,34094,Se94
34,61,Se,3.92e-07,34095,Se95
35,32,Br,,35067,Br67
35,33,Br,3.5e-08,35068,Br68
35,34,Br,2.4e-08,35069,Br69
35,35,Br,0.0791,35070,Br70
35,36,Br,21.4,35071,Br71
35,37,Br,78.6,35072,Br72
35,38,Br,204.0,35073,Br73
35,39,Br,1524.0,35074,Br74
35,40,Br,5802.0,35075,Br75
35,41,Br,58320.0,35076,Br76
35,42,Br,205344.0,35077,Br77
35,43,Br,387.0,35078,Br78
35,44,Br,,35079,Br79
35,45,Br,1060.8,35080,Br80
35,46,Br,,35081,Br81
35,47,Br,127015.2,35082,Br82
35,48,Br,8546.4,35083,Br83
35,49,Br,1905.6,35084,Br84
35,50,Br,174.0,35085,Br85
35,51,Br,55.1,35086,Br86
35,52,Br,55.68,35087,Br87
35,53,Br,16.34,35088,Br88
35,54,Br,4.357,35089,Br89
35,55,Br,1.91,35090,Br90
35,56,Br,0.543,35091,Br91
35,57,Br,0.314,35092,Br92
35,58,Br,0.102,35093,Br93
35,59,Br,0.07,35094,Br94
35,60,Br,1.5e-07,35095,Br95
35,61,Br,1.5e-07,35096,Br96
35,62,Br,,35097,Br97
35,63,Br,,35098,Br98
35,66,Br,,35101,Br101
36,31,Kr,0.0074,36067,Kr67
36,32,Kr,0.0216,36068,Kr68
36,33,Kr,0.028,36069,Kr69
36,34,Kr,0.04,36070,Kr70
36,35,Kr,0.0949,36071,Kr71
36,36,Kr,17.1,36072,Kr72
36,37,Kr,27.3,36073,Kr73
36,38,Kr,690.0,36074,Kr74
36,39,Kr,276.0,36075,Kr75
36,40,Kr,53280.0,36076,Kr76
36,41,Kr,4275.0,36077,Kr77
36,42,Kr,,36078,Kr78
36,43,Kr,126144.0,36079,Kr79
36,44,Kr,,36080,Kr80
36,45,Kr,7226536048181.568,36081,Kr81
36,46,Kr,,36082,Kr82
36,47,Kr,,36083,Kr83
36,48,Kr,,36084,Kr84
36,49,Kr,338889828.0411435,36085,Kr85
36,50,Kr,,36086,Kr86
36,51,Kr,4578.0,36087,Kr87
36,52,Kr,10170.0,36088,Kr88
36,53,Kr,189.0,36089,Kr89
36,54,Kr,32.32,36090,Kr90
36,55,Kr,8.57,36091,Kr91
36,56,Kr,1.84,36092,Kr92
36,57,Kr,1.286,36093,Kr93
36,58,Kr,0.212,36094,Kr94
36,59,Kr,0.114,36095,Kr95
36,60,Kr,0.08,36096,Kr96
36,61,Kr,0.063,36097,Kr97
36,62,Kr,0.043,36098,Kr98
36,63,Kr,0.013,36099,Kr99
36,64,Kr,0.007,36100,Kr100
36,65,Kr,6.35e-07,36101,Kr101
36,66,Kr,,36102,Kr102
37,35,Rb,1.03e-07,37072,Rb72
37,36,Rb,8.1e-08,37073,Rb73
37,37,Rb,0.064776,37074,Rb74
37,38,Rb,19.0,37075,Rb75
37,39,Rb,36.5,37076,Rb76
37,40,Rb,226.8,37077,Rb77
37,41,Rb,1059.6,37078,Rb78
37,42,Rb,1374.0,37079,Rb79
37,43,Rb,33.4,37080,Rb80
37,44,Rb,16459.2,37081,Rb81
37,45,Rb,75.45,37082,Rb82
37,46,Rb,7447680.0,37083,Rb83
37,47,Rb,2835648.0,37084,Rb84
37,48,Rb,,37085,Rb85
37,49,Rb,1610668.8,37086,Rb86
37,50,Rb,1.5683792209372224e+18,37087,Rb87
37,51,Rb,1066.38,37088,Rb88
37,52,Rb,919.2,37089,Rb89
37,53,Rb,158.0,37090,Rb90
37,54,Rb,58.2,37091,Rb91
37,55,Rb,4.48,37092,Rb92
37,56,Rb,5.84,37093,Rb93
37,57,Rb,2.702,37094,Rb94
37,58,Rb,0.3777,37095,Rb95
37,59,Rb,0.203,37096,Rb96
37,60,Rb,0.1691,37097,Rb97
37,61,Rb,0.115,37098,Rb98
37,62,Rb,0.054,37099,Rb99
37,63,Rb,0.052,37100,Rb100
37,64,Rb,0.032,37101,Rb101
37,65,Rb,0.037,37102,Rb102
37,66,Rb,0.023,37103,Rb103
37,67,Rb,,37104,Rb104
37,68,Rb,,37105,Rb105
37,69,Rb,,37106,Rb106
38,35,Sr,0.025,38073,Sr73
38,36,Sr,0.027,38074,Sr74
38,37,Sr,0.088,38075,Sr75
38,38,Sr,7.89,38076,Sr76
38,39,Sr,9.0,38077,Sr77
38,40,Sr,160.0,38078,Sr78
38,41,Sr,135.0,38079,Sr79
38,42,Sr,6378.0,38080,Sr80
38,43,Sr,1338.0,38081,Sr81
38,44,Sr,2190240.0,38082,Sr82
38,45,Sr,116676.0,38083,Sr83
38,46,Sr,,38084,Sr84
38,47,Sr,5602953.6,38085,Sr85
38,48,Sr,,38086,Sr86
38,49,Sr,,38087,Sr87
38,50,Sr,,38088,Sr88
38,51,Sr,4368643.2,38089,Sr89
38,52,Sr,912310729.9254549,38090,Sr90
38,53,Sr,34740.0,38091,Sr91
38,54,Sr,9399.6,38092,Sr92
38,55,Sr,445.8,38093,Sr93
38,56,Sr,75.3,38094,Sr94
38,57,Sr,23.9,38095,Sr95
38,58,Sr,1.07,38096,Sr96
38,59,Sr,0.429,38097,Sr97
38,60,Sr,0.653,38098,Sr98
38,61,Sr,0.269,38099,Sr99
38,62,Sr,0.2,38100,Sr100
38,63,Sr,0.118,38101,Sr101
38,64,Sr,0.069,38102,Sr102
38,65,Sr,0.053,38103,Sr103
38,66,Sr,0.053,38104,Sr104
38,67,Sr,0.039,38105,Sr105
38,68,Sr,0.02,38106,Sr106
38,69,Sr,3.95e-07,38107,Sr107
38,70,Sr,,38108,Sr108
39,37,Y,2e-07,39076,Y76
39,38,Y,0.057,39077,Y77
39,39,Y,0.053,39078,Y78
39,40,Y,14.8,39079,Y79
39,41,Y,30.1,39080,Y80
39,42,Y,70.4,39081,Y81
39,43,Y,8.3,39082,Y82
39,44,Y,424.8,39083,Y83
39,45,Y,2370.0,39084,Y84
39,46,Y,9648.0,39085,Y85
39,47,Y,53064.0,39086,Y86
39,48,Y,287280.0,39087,Y87
39,49,Y,9212486.4,39088,Y88
39,50,Y,,39089,Y89
39,51,Y,230580.0,39090,Y90
39,52,Y,5055264.0,39091,Y91
39,53,Y,12744.0,39092,Y92
39,54,Y,36648.0,39093,Y93
39,55,Y,1122.0,39094,Y94
39,56,Y,618.0,39095,Y95
39,57,Y,5.34,39096,Y96
39,58,Y,3.75,39097,Y97
39,59,Y,0.548,39098,Y98
39,60,Y,1.484,39099,Y99
39,61,Y,0.732,39100,Y100
39,62,Y,0.45,39101,Y101
39,63,Y,0.36,39102,Y102
39,64,Y,0.23,39103,Y103
39,65,Y,0.197,39104,Y104
39,66,Y,0.107,39105,Y105
39,67,Y,0.079,39106,Y106
39,68,Y,0.0335,39107,Y107
39,69,Y,0.03,39108,Y108
39,70,Y,0.025,39109,Y109
39,71,Y,,39110,Y110
39,72,Y,,39111,Y111
40,37,Zr,,40077,Zr77
40,38,Zr,1.7e-07,40078,Zr78
40,39,Zr,0.056,40079,Zr79
40,40,Zr,4.6,40080,Zr80
40,41,Zr,5.5,40081,Zr81
40,42,Zr,32.0,40082,Zr82
40,43,Zr,42.0,40083,Zr83
40,44,Zr,1548.0,40084,Zr84
40,45,Zr,471.6,40085,Zr85
40,46,Zr,59400.0,40086,Zr86
40,47,Zr,6048.0,40087,Zr87
40,48,Zr,7205760.0,40088,Zr88
40,49,Zr,282276.0,40089,Zr89
40,50,Zr,,40090,Zr90
40,51,Zr,,40091,Zr91
40,52,Zr,,40092,Zr92
40,53,Zr,50806650819093.12,40093,Zr93
40,54,Zr,,40094,Zr94
40,55,Zr,5532364.8,40095,Zr95
40,56,Zr,6.3113851949184e+26,40096,Zr96
40,57,Zr,60296.4,40097,Zr97
40,58,Zr,30.7,40098,Zr98
40,59,Zr,2.1,40099,Zr99
40,60,Zr,7.1,40100,Zr100
40,61,Zr,2.3,40101,Zr101
40,62,Zr,2.9,40102,Zr102
40,63,Zr,1.3,40103,Zr103
40,64,Zr,1.2,40104,Zr104
40,65,Zr,0.66,40105,Zr105
40,66,Zr,0.18,40106,Zr106
40,67,Zr,0.146,40107,Zr107
40,68,Zr,0.0774,40108,Zr108
40,69,Zr,0.056,40109,Zr109
40,70,Zr,0.0375,40110,Zr110
40,71,Zr,0.024,40111,Zr111
40,72,Zr,0.03,40112,Zr112
40,73,Zr,,40113,Zr113
40,74,Zr,,40114,Zr114
41,40,Nb,2e-07,41081,Nb81
41,41,Nb,0.05,41082,Nb82
41,42,Nb,3.9,41083,Nb83
41,43,Nb,9.8,41084,Nb84
41,44,Nb,20.5,41085,Nb85
41,45,Nb,88.0,41086,Nb86
41,46,Nb,222.0,41087,Nb87
41,47,Nb,870.0,41088,Nb88
41,48,Nb,7308.0,41089,Nb89
41,49,Nb,52560.0,41090,Nb90
41,50,Nb,21458709662.72256,41091,Nb91
41,51,Nb,1095025331318342.4,41092,Nb92
41,52,Nb,,41093,Nb93
41,53,Nb,640605597284.2177,41094,Nb94
41,54,Nb,3023222.4,41095,Nb95
41,55,Nb,84060.0,41096,Nb96
41,56,Nb,4326.0,41097,Nb97
41,57,Nb,2.86,41098,Nb98
41,58,Nb,15.0,41099,Nb99
41,59,Nb,1.4,41100,Nb100
41,60,Nb,7.1,41101,Nb101
41,61,Nb,4.3,41102,Nb102
41,62,Nb,1.5,41103,Nb103
41,63,Nb,4.9,41104,Nb104
41,64,Nb,2.91,41105,Nb105
41,65,Nb,1.02,41106,Nb106
41,66,Nb,0.3,41107,Nb107
41,67,Nb,0.198,41108,Nb108
41,68,Nb,0.108,41109,Nb109
41,69,Nb,0.082,41110,Nb110
41,70,Nb,0.054,41111,Nb111
41,71,Nb,0.033,41112,Nb112
41,72,Nb,0.032,41113,Nb113
41,73,Nb,0.017,41114,Nb114
41,74,Nb,0.023,41115,Nb115
41,75,Nb,,41116,Nb116
41,76,Nb,,41117,Nb117
42,39,Mo,4.5e-07,42081,Mo81
42,40,Mo,,42082,Mo82
42,41,Mo,0.006,42083,Mo83
42,42,Mo,2.3,42084,Mo84
42,43,Mo,3.2,42085,Mo85
42,44,Mo,19.1,42086,Mo86
42,45,Mo,14.1,42087,Mo87
42,46,Mo,480.0,42088,Mo88
42,47,Mo,126.6,42089,Mo89
42,48,Mo,20016.0,42090,Mo90
42,49,Mo,929.4,42091,Mo91
42,50,Mo,,42092,Mo92
42,51,Mo,126227703898.368,42093,Mo93
42,52,Mo,,42094,Mo94
42,53,Mo,,42095,Mo95
42,54,Mo,,42096,Mo96
42,55,Mo,,42097,Mo97
42,56,Mo,,42098,Mo98
42,57,Mo,237326.4,42099,Mo99
42,58,Mo,2.212140510818899e+26,42100,Mo100
42,59,Mo,876.6,42101,Mo101
42,60,Mo,678.0,42102,Mo102
42,61,Mo,67.5,42103,Mo103
42,62,Mo,60.0,42104,Mo104
42,63,Mo,36.3,42105,Mo105
42,64,Mo,8.73,42106,Mo106
42,65,Mo,3.5,42107,Mo107
42,66,Mo,1.09,42108,Mo108
42,67,Mo,0.61,42109,Mo109
42,68,Mo,0.296,42110,Mo110
42,69,Mo,0.186,42111,Mo111
42,70,Mo,0.12,42112,Mo112
42,71,Mo,0.08,42113,Mo113
42,72,Mo,0.058,42114,Mo114
42,73,Mo,0.0455,42115,Mo115
42,74,Mo,0.032,42116,Mo116
42,75,Mo,0.022,42117,Mo117
42,76,Mo,0.019,42118,Mo118
42,77,Mo,,42119,Mo119
43,42,Tc,1e-07,43085,Tc85
43,43,Tc,0.055,43086,Tc86
43,44,Tc,2.2,43087,Tc87
43,45,Tc,6.4,43088,Tc88
43,46,Tc,12.8,43089,Tc89
43,47,Tc,49.2,43090,Tc90
43,48,Tc,188.4,43091,Tc91
43,49,Tc,255.0,43092,Tc92
43,50,Tc,9900.0,43093,Tc93
43,51,Tc,17580.0,43094,Tc94
43,52,Tc,72000.0,43095,Tc95
43,53,Tc,369792.0,43096,Tc96
43,54,Tc,132854658353032.31,43097,Tc97
43,55,Tc,132539089093286.4,43098,Tc98
43,56,Tc,6661667073236.371,43099,Tc99
43,57,Tc,15.65,43100,Tc100
43,58,Tc,853.2,43101,Tc101
43,59,Tc,5.28,43102,Tc102
43,60,Tc,54.2,43103,Tc103
43,61,Tc,1098.0,43104,Tc104
43,62,Tc,458.4,43105,Tc105
43,63,Tc,35.6,43106,Tc106
43,64,Tc,21.2,43107,Tc107
43,65,Tc,5.17,43108,Tc108
43,66,Tc,0.91,43109,Tc109
43,67,Tc,0.9,43110,Tc110
43,68,Tc,0.29,43111,Tc111
43,69,Tc,0.271,43112,Tc112
43,70,Tc,0.152,43113,Tc113
43,71,Tc,0.1,43114,Tc114
43,72,Tc,0.078,43115,Tc115
43,73,Tc,0.057,43116,Tc116
43,74,Tc,0.0445,43117,Tc117
43,75,Tc,0.03,43118,Tc118
43,76,Tc,0.022,43119,Tc119
43,77,Tc,0.021,43120,Tc120
43,78,Tc,0.022,43121,Tc121
43,79,Tc,,43122,Tc122
44,41,Ru,4.5e-07,44085,Ru85
44,42,Ru,4.38e-07,44086,Ru86
44,43,Ru,,44087,Ru87
44,44,Ru,1.2,44088,Ru88
44,45,Ru,1.32,44089,Ru89
44,46,Ru,11.7,44090,Ru90
44,47,Ru,8.0,44091,Ru91
44,48,Ru,219.0,44092,Ru92
44,49,Ru,59.7,44093,Ru93
44,50,Ru,3108.0,44094,Ru94
44,51,Ru,5914.8,44095,Ru95
44,52,Ru,,44096,Ru96
44,53,Ru,244512.0,44097,Ru97
44,54,Ru,,44098,Ru98
44,55,Ru,,44099,Ru99
44,56,Ru,,44100,Ru100
44,57,Ru,,44101,Ru101
44,58,Ru,,44102,Ru102
44,59,Ru,3390940.8,44103,Ru103
44,60,Ru,,44104,Ru104
44,61,Ru,15980.4,44105,Ru105
44,62,Ru,32123520.0,44106,Ru106
44,63,Ru,225.0,44107,Ru107
44,64,Ru,273.0,44108,Ru108
44,65,Ru,34.4,44109,Ru109
44,66,Ru,12.04,44110,Ru110
44,67,Ru,2.12,44111,Ru111
44,68,Ru,1.75,44112,Ru112
44,69,Ru,0.8,44113,Ru113
44,70,Ru,0.54,44114,Ru114
44,71,Ru,0.318,44115,Ru115
44,72,Ru,0.204,44116,Ru116
44,73,Ru,0.151,44117,Ru117
44,74,Ru,0.099,44118,Ru118
44,75,Ru,0.0695,44119,Ru119
44,76,Ru,0.045,44120,Ru120
44,77,Ru,0.029,44121,Ru121
44,78,Ru,0.025,44122,Ru122
44,79,Ru,0.019,44123,Ru123
44,80,Ru,0.015,44124,Ru124
44,81,Ru,,44125,Ru125
45,44,Rh,1.2e-07,45089,Rh89
45,45,Rh,0.029,45090,Rh90
45,46,Rh,1.47,45091,Rh91
45,47,Rh,4.66,45092,Rh92
45,48,Rh,12.2,45093,Rh93
45,49,Rh,70.6,45094,Rh94
45,50,Rh,301.2,45095,Rh95
45,51,Rh,594.0,45096,Rh96
45,52,Rh,1842.0,45097,Rh97
45,53,Rh,523.2,45098,Rh98
45,54,Rh,1391040.0,45099,Rh99
45,55,Rh,73800.0,45100,Rh100
45,56,Rh,104137855.7161536,45101,Rh101
45,57,Rh,17910720.0,45102,Rh102
45,58,Rh,,45103,Rh103
45,59,Rh,42.3,45104,Rh104
45,60,Rh,127227.6,45105,Rh105
45,61,Rh,30.07,45106,Rh106
45,62,Rh,1302.0,45107,Rh107
45,63,Rh,16.8,45108,Rh108
45,64,Rh,80.8,45109,Rh109
45,65,Rh,3.35,45110,Rh110
45,66,Rh,11.0,45111,Rh111
45,67,Rh,3.6,45112,Rh112
45,68,Rh,2.8,45113,Rh113
45,69,Rh,1.85,45114,Rh114
45,70,Rh,0.99,45115,Rh115
45,71,Rh,0.68,45116,Rh116
45,72,Rh,0.44,45117,Rh117
45,73,Rh,0.286,45118,Rh118
45,74,Rh,0.171,45119,Rh119
45,75,Rh,0.132,45120,Rh120
45,76,Rh,0.151,45121,Rh121
45,77,Rh,3e-07,45122,Rh122
45,78,Rh,0.0422,45123,Rh123
45,79,Rh,0.03,45124,Rh124
45,80,Rh,0.0265,45125,Rh125
45,81,Rh,0.019,45126,Rh126
45,82,Rh,0.02,45127,Rh127
45,83,Rh,,45128,Rh128
46,44,Pd,,46090,Pd90
46,45,Pd,,46091,Pd91
46,46,Pd,1.0,46092,Pd92
46,47,Pd,1.0,46093,Pd93
46,48,Pd,9.0,46094,Pd94
46,49,Pd,5.0,46095,Pd95
46,50,Pd,122.0,46096,Pd96
46,51,Pd,186.0,46097,Pd97
46,52,Pd,1062.0,46098,Pd98
46,53,Pd,1284.0,46099,Pd99
46,54,Pd,313632.0,46100,Pd100
46,55,Pd,30492.0,46101,Pd101
46,56,Pd,,46102,Pd102
46,57,Pd,1468022.4,46103,Pd103
46,58,Pd,,46104,Pd104
46,59,Pd,,46105,Pd105
46,60,Pd,,46106,Pd106
46,61,Pd,205120018834848.0,46107,Pd107
46,62,Pd,,46108,Pd108
46,63,Pd,48924.0,46109,Pd109
46,64,Pd,,46110,Pd110
46,65,Pd,1404.0,46111,Pd111
46,66,Pd,75744.0,46112,Pd112
46,67,Pd,93.0,46113,Pd113
46,68,Pd,145.2,46114,Pd114
46,69,Pd,25.0,46115,Pd115
46,70,Pd,11.8,46116,Pd116
46,71,Pd,4.3,46117,Pd117
46,72,Pd,1.9,46118,Pd118
46,73,Pd,0.92,46119,Pd119
46,74,Pd,0.492,46120,Pd120
46,75,Pd,0.285,46121,Pd121
46,76,Pd,0.175,46122,Pd122
46,77,Pd,0.109,46123,Pd123
46,78,Pd,0.038,46124,Pd124
46,79,Pd,0.057,46125,Pd125
46,80,Pd,0.0485,46126,Pd126
46,81,Pd,0.038,46127,Pd127
46,82,Pd,0.035,46128,Pd128
46,83,Pd,0.031,46129,Pd129
46,84,Pd,,46130,Pd130
46,85,Pd,,46131,Pd131
47,45,Ag,,47092,Ag92
47,46,Ag,2.28e-07,47093,Ag93
47,47,Ag,0.026,47094,Ag94
47,48,Ag,1.75,47095,Ag95
47,49,Ag,4.4,47096,Ag96
47,50,Ag,25.5,47097,Ag97
47,51,Ag,47.5,47098,Ag98
47,52,Ag,124.0,47099,Ag99
47,53,Ag,120.6,47100,Ag100
47,54,Ag,666.0,47101,Ag101
47,55,Ag,774.0,47102,Ag102
47,56,Ag,3942.0,47103,Ag103
47,57,Ag,4152.0,47104,Ag104
47,58,Ag,3567456.0,47105,Ag105
47,59,Ag,1437.6,47106,Ag106
47,60,Ag,,47107,Ag107
47,61,Ag,142.92,47108,Ag108
47,62,Ag,,47109,Ag109
47,63,Ag,24.56,47110,Ag110
47,64,Ag,643680.0,47111,Ag111
47,65,Ag,11268.0,47112,Ag112
47,66,Ag,19332.0,47113,Ag113
47,67,Ag,4.6,47114,Ag114
47,68,Ag,1200.0,47115,Ag115
47,69,Ag,230.0,47116,Ag116
47,70,Ag,72.8,47117,Ag117
47,71,Ag,3.76,47118,Ag118
47,72,Ag,2.1,47119,Ag119
47,73,Ag,1.23,47120,Ag120
47,74,Ag,0.78,47121,Ag121
47,75,Ag,0.529,47122,Ag122
47,76,Ag,0.299,47123,Ag123
47,77,Ag,0.191,47124,Ag124
47,78,Ag,0.159,47125,Ag125
47,79,Ag,0.052,47126,Ag126
47,80,Ag,0.109,47127,Ag127
47,81,Ag,0.058,47128,Ag128
47,82,Ag,0.046,47129,Ag129
47,83,Ag,0.042,47130,Ag130
47,84,Ag,0.035,47131,Ag131
47,85,Ag,0.028,47132,Ag132
48,46,Cd,7.6e-07,48094,Cd94
48,47,Cd,0.032,48095,Cd95
48,48,Cd,1.03,48096,Cd96
48,49,Cd,2.8,48097,Cd97
48,50,Cd,9.3,48098,Cd98
48,51,Cd,16.0,48099,Cd99
48,52,Cd,49.1,48100,Cd100
48,53,Cd,81.6,48101,Cd101
48,54,Cd,330.0,48102,Cd102
48,55,Cd,438.0,48103,Cd103
48,56,Cd,3462.0,48104,Cd104
48,57,Cd,3330.0,48105,Cd105
48,58,Cd,,48106,Cd106
48,59,Cd,23400.0,48107,Cd107
48,60,Cd,,48108,Cd108
48,61,Cd,39908160.0,48109,Cd109
48,62,Cd,,48110,Cd110
48,63,Cd,,48111,Cd111
48,64,Cd,,48112,Cd112
48,65,Cd,2.5371768483571968e+23,48113,Cd113
48,66,Cd,,48114,Cd114
48,67,Cd,192456.0,48115,Cd115
48,68,Cd,1.041378557161536e+27,48116,Cd116
48,69,Cd,8964.0,48117,Cd117
48,70,Cd,3018.0,48118,Cd118
48,71,Cd,161.4,48119,Cd119
48,72,Cd,50.8,48120,Cd120
48,73,Cd,13.5,48121,Cd121
48,74,Cd,5.24,48122,Cd122
48,75,Cd,2.1,48123,Cd123
48,76,Cd,1.25,48124,Cd124
48,77,Cd,0.68,48125,Cd125
48,78,Cd,0.514,48126,Cd126
48,79,Cd,0.37,48127,Cd127
48,80,Cd,0.28,48128,Cd128
48,81,Cd,0.154,48129,Cd129
48,82,Cd,0.162,48130,Cd130
48,83,Cd,0.068,48131,Cd131
48,84,Cd,0.084,48132,Cd132
48,85,Cd,0.057,48133,Cd133
48,86,Cd,0.065,48134,Cd134
49,47,In,,49096,In96
49,48,In,0.036,49097,In97
49,49,In,0.03,49098,In98
49,50,In,3.1,49099,In99
49,51,In,5.65,49100,In100
49,52,In,15.1,49101,In101
49,53,In,23.3,49102,In102
49,54,In,65.0,49103,In103
49,55,In,108.0,49104,In104
49,56,In,304.2,49105,In105
49,57,In,372.0,49106,In106
49,58,In,1944.0,49107,In107
49,59,In,3480.0,49108,In108
49,60,In,14972.4,49109,In109
49,61,In,17712.0,49110,In110
49,62,In,242326.08,49111,In111
49,63,In,892.8,49112,In112
49,64,In,,49113,In113
49,65,In,71.9,49114,In114
49,66,In,1.3916604354795072e+22,49115,In115
49,67,In,14.1,49116,In116
49,68,In,2592.0,49117,In117
49,69,In,5.0,49118,In118
49,70,In,144.0,49119,In119
49,71,In,3.08,49120,In120
49,72,In,23.1,49121,In121
49,73,In,1.5,49122,In122
49,74,In,6.15,49123,In123
49,75,In,3.12,49124,In124
49,76,In,2.36,49125,In125
49,77,In,1.53,49126,In126
49,78,In,1.09,49127,In127
49,79,In,0.84,49128,In128
49,80,In,0.611,49129,In129
49,81,In,0.29,49130,In130
49,82,In,0.28,49131,In131
49,83,In,0.2,49132,In132
49,84,In,0.165,49133,In133
49,85,In,0.14,49134,In134
49,86,In,0.101,49135,In135
49,87,In,0.085,49136,In136
49,88,In,0.065,49137,In137
50,49,Sn,7.6e-07,50099,Sn99
50,50,Sn,1.18,50100,Sn100
50,51,Sn,1.7,50101,Sn101
50,52,Sn,3.8,50102,Sn102
50,53,Sn,7.0,50103,Sn103
50,54,Sn,20.8,50104,Sn104
50,55,Sn,32.7,50105,Sn105
50,56,Sn,115.0,50106,Sn106
50,57,Sn,174.0,50107,Sn107
50,58,Sn,618.0,50108,Sn108
50,59,Sn,1086.0,50109,Sn109
50,60,Sn,14954.4,50110,Sn110
50,61,Sn,2118.0,50111,Sn111
50,62,Sn,,50112,Sn112
50,63,Sn,9943776.0,50113,Sn113
50,64,Sn,,50114,Sn114
50,65,Sn,,50115,Sn115
50,66,Sn,,50116,Sn116
50,67,Sn,,50117,Sn117
50,68,Sn,,50118,Sn118
50,69,Sn,,50119,Sn119
50,70,Sn,,50120,Sn120
50,71,Sn,97308.0,50121,Sn121
50,72,Sn,,50122,Sn122
50,73,Sn,11162880.0,50123,Sn123
50,74,Sn,,50124,Sn124
50,75,Sn,832896.0,50125,Sn125
50,76,Sn,6879409862461.056,50126,Sn126
50,77,Sn,7560.0,50127,Sn127
50,78,Sn,3544.2,50128,Sn128
50,79,Sn,133.8,50129,Sn129
50,80,Sn,223.2,50130,Sn130
50,81,Sn,56.0,50131,Sn131
50,82,Sn,39.7,50132,Sn132
50,83,Sn,1.46,50133,Sn133
50,84,Sn,1.05,50134,Sn134
50,85,Sn,0.515,50135,Sn135
50,86,Sn,0.345,50136,Sn136
50,87,Sn,0.19,50137,Sn137
50,88,Sn,0.14,50138,Sn138
50,89,Sn,0.13,50139,Sn139
50,90,Sn,,50140,Sn140
51,52,Sb,4.9e-08,51103,Sb103
51,53,Sb,0.44,51104,Sb104
51,54,Sb,1.22,51105,Sb105
51,55,Sb,0.6,51106,Sb106
51,56,Sb,4.0,51107,Sb107
51,57,Sb,7.4,51108,Sb108
51,58,Sb,17.2,51109,Sb109
51,59,Sb,23.6,51110,Sb110
51,60,Sb,75.0,51111,Sb111
51,61,Sb,53.5,51112,Sb112
51,62,Sb,400.2,51113,Sb113
51,63,Sb,209.4,51114,Sb114
51,64,Sb,1926.0,51115,Sb115
51,65,Sb,948.0,51116,Sb116
51,66,Sb,10080.0,51117,Sb117
51,67,Sb,216.0,51118,Sb118
51,68,Sb,137484.0,51119,Sb119
51,69,Sb,953.4,51120,Sb120
51,70,Sb,,51121,Sb121
51,71,Sb,235336.32,51122,Sb122
51,72,Sb,,51123,Sb123
51,73,Sb,5201280.0,51124,Sb124
51,74,Sb,87051673.71647051,51125,Sb125
51,75,Sb,1067040.0,51126,Sb126
51,76,Sb,332640.0,51127,Sb127
51,77,Sb,32580.0,51128,Sb128
51,78,Sb,15717.6,51129,Sb129
51,79,Sb,2370.0,51130,Sb130
51,80,Sb,1381.8,51131,Sb131
51,81,Sb,167.4,51132,Sb132
51,82,Sb,140.4,51133,Sb133
51,83,Sb,0.78,51134,Sb134
51,84,Sb,1.679,51135,Sb135
51,85,Sb,0.923,51136,Sb136
51,86,Sb,0.45,51137,Sb137
51,87,Sb,0.348,51138,Sb138
51,88,Sb,0.093,51139,Sb139
51,89,Sb,0.173,51140,Sb140
51,90,Sb,0.103,51141,Sb141
51,91,Sb,0.053,51142,Sb142
52,52,Te,1.8e-08,52104,Te104
52,53,Te,6.2e-07,52105,Te105
52,54,Te,7e-05,52106,Te106
52,55,Te,0.0031,52107,Te107
52,56,Te,2.1,52108,Te108
52,57,Te,4.4,52109,Te109
52,58,Te,18.6,52110,Te110
52,59,Te,19.3,52111,Te111
52,60,Te,120.0,52112,Te112
52,61,Te,102.0,52113,Te113
52,62,Te,912.0,52114,Te114
